id;instructions;branches;jhi_lines;methods;classes;dead_instructions;dead_branches;dead_lines;dead_methods;dead_classes
1;9877.02;7927.16;3243.57;32057.12;32002.12;22054.9;25095.3;20342.97;32440.18;10615.54
2;5131.21;29057.27;9056.43;8736.39;1313.32;10808.45;22329.39;22660.09;16140.39;25687.64
3;22023.57;23073.48;4313.91;21943.26;12745.68;22143.74;28272.6;3152.73;3755.28;32617.52
4;9884.03;25147.73;31113.16;1387.98;17538.94;2747.55;7158.08;3650.34;27763.21;24931.04
5;13001;26161.39;7205;26791.56;12298.6;12256.12;18799.04;15639.24;7456.08;1743.46
6;20587.94;11528.32;8392.99;32278.97;15876.02;16646.22;16150.07;8978.86;23252.77;23796.21
7;5681.14;30661.26;16920.8;32461.61;28211.68;4900.45;18805.17;1061.59;30544.73;16449.19
8;21187.04;8638.13;31358.34;2098.14;23443.03;8201.81;13897.2;21228.53;1301.24;26539.72
9;5507.18;7759.28;26176.29;508.99;29586.9;26050.76;28582.08;2724.64;12215.06;5520.4
10;17339.68;2804.05;26140.76;11758.75;12936.87;22063.2;26701.46;9489.31;9937.32;7795.9
