id;base_config;content;user_id
1;blissfully;../fake-data/blob/hipster.txt;1
2;given consequently like;../fake-data/blob/hipster.txt;2
3;entire for;../fake-data/blob/hipster.txt;1
4;furthermore puzzled;../fake-data/blob/hipster.txt;1
5;snoopy observe;../fake-data/blob/hipster.txt;2
6;furthermore heighten consistency;../fake-data/blob/hipster.txt;2
7;notwithstanding ack;../fake-data/blob/hipster.txt;2
8;hateful boo limply;../fake-data/blob/hipster.txt;2
9;shallow;../fake-data/blob/hipster.txt;2
10;round including;../fake-data/blob/hipster.txt;1
